Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,num_bikes_available
2021-09-01 00:00:00+00:00,0.0,-4.2,1.3,8,0,2,0,False,,9,18
2021-09-01 01:00:00+00:00,0.0,-4.4,1.1,8,0,2,1,False,0.0,9,18
2021-09-01 02:00:00+00:00,0.0,-4.5,0.3,8,0,2,2,False,0.0,9,18
2021-09-01 03:00:00+00:00,0.0,-4.6,0.2,8,0,2,3,False,0.0,9,18
2021-09-01 04:00:00+00:00,0.0,-4.6,0.8,8,3,2,4,False,0.0,9,18
2021-09-01 05:00:00+00:00,0.0,-4.6,1.0,8,6,2,5,False,3.0,9,18
2021-09-01 06:00:00+00:00,0.0,-4.7,0.6,8,7,2,6,False,6.0,9,18
2021-09-01 07:00:00+00:00,0.0,-4.5,0.6,8,3,2,7,False,7.0,9,15
2021-09-01 08:00:00+00:00,0.0,-4.7,0.4,8,3,2,8,False,3.0,9,13
2021-09-01 09:00:00+00:00,0.0,-4.7,0.5,8,1,2,9,False,3.0,9,14
2021-09-01 10:00:00+00:00,0.0,-4.8,0.8,7,1,2,10,False,1.0,9,17
2021-09-01 11:00:00+00:00,0.0,-4.5,0.6,7,2,2,11,False,1.0,9,15
2021-09-01 12:00:00+00:00,0.0,-3.7,2.1,7,0,2,12,False,2.0,9,15
2021-09-01 13:00:00+00:00,0.0,-5.0,2.7,7,5,2,13,False,0.0,9,17
2021-09-01 14:00:00+00:00,0.0,-5.1,1.0,7,10,2,14,False,5.0,9,16
2021-09-01 15:00:00+00:00,0.0,-5.5,1.3,7,7,2,15,False,10.0,9,18
2021-09-01 16:00:00+00:00,0.0,-5.1,1.8,7,5,2,16,False,7.0,9,15
2021-09-01 17:00:00+00:00,0.0,-5.4,1.1,7,1,2,17,False,5.0,9,15
2021-09-01 18:00:00+00:00,0.0,-5.5,1.5,7,1,2,18,False,1.0,9,14
2021-09-01 19:00:00+00:00,0.0,-6.0,1.1,8,0,2,19,False,1.0,9,16
2021-09-01 20:00:00+00:00,0.0,-6.0,0.8,8,4,2,20,False,0.0,9,18
2021-09-01 21:00:00+00:00,0.0,-6.0,0.8,8,1,2,21,False,4.0,9,18
2021-09-01 22:00:00+00:00,0.1,-5.8,1.0,8,0,2,22,False,1.0,9,18
2021-09-01 23:00:00+00:00,0.1,-5.3,0.5,8,0,2,23,False,0.0,9,17
2021-09-02 00:00:00+00:00,0.0,-5.4,6.1,7,0,3,0,False,0.0,9,17
2021-09-02 01:00:00+00:00,0.0,-5.8,6.4,7,0,3,1,False,0.0,9,17
2021-09-02 02:00:00+00:00,0.1,-6.1,5.3,7,0,3,2,False,0.0,9,17
2021-09-02 03:00:00+00:00,0.0,-6.1,4.9,7,2,3,3,False,0.0,9,17
2021-09-02 04:00:00+00:00,0.2,-5.8,4.9,7,1,3,4,False,2.0,9,17
2021-09-02 05:00:00+00:00,0.0,-5.8,5.3,7,6,3,5,False,1.0,9,17
2021-09-02 06:00:00+00:00,0.0,-6.0,6.1,7,8,3,6,False,6.0,9,15
2021-09-02 07:00:00+00:00,0.0,-6.1,5.6,7,5,3,7,False,8.0,9,14
2021-09-02 08:00:00+00:00,0.0,-6.3,5.4,7,1,3,8,False,5.0,9,13
2021-09-02 09:00:00+00:00,0.0,-6.5,5.7,7,3,3,9,False,1.0,9,15
2021-09-02 10:00:00+00:00,0.0,-6.4,5.5,7,2,3,10,False,3.0,9,16
2021-09-02 11:00:00+00:00,0.0,-5.7,5.9,7,0,3,11,False,2.0,9,18
2021-09-02 12:00:00+00:00,0.0,-4.4,5.2,7,3,3,12,False,0.0,9,16
2021-09-02 13:00:00+00:00,0.0,-3.8,4.0,3,3,3,13,False,3.0,9,17
2021-09-02 14:00:00+00:00,0.0,-3.5,4.9,3,8,3,14,False,3.0,9,18
2021-09-02 15:00:00+00:00,0.0,-3.9,4.1,3,3,3,15,False,8.0,9,16
2021-09-02 16:00:00+00:00,0.0,-4.7,3.6,2,1,3,16,False,3.0,9,18
2021-09-02 17:00:00+00:00,0.0,-5.9,4.4,2,5,3,17,False,1.0,9,18
2021-09-02 18:00:00+00:00,0.0,-7.1,2.9,2,0,3,18,False,5.0,9,16
2021-09-02 19:00:00+00:00,0.0,-7.6,2.5,4,0,3,19,False,0.0,9,18
2021-09-02 20:00:00+00:00,0.0,-7.7,2.7,4,1,3,20,False,0.0,9,18
2021-09-02 21:00:00+00:00,0.0,-8.3,1.7,4,0,3,21,False,1.0,9,18
2021-09-02 22:00:00+00:00,0.0,-9.6,1.6,4,0,3,22,False,0.0,9,18
2021-09-02 23:00:00+00:00,0.0,-10.3,0.8,4,0,3,23,False,0.0,9,18
2021-09-03 00:00:00+00:00,0.0,-2.3,0.5,6,0,4,0,False,0.0,9,18
2021-09-03 01:00:00+00:00,0.0,-1.5,1.1,6,0,4,1,False,0.0,9,18
2021-09-03 02:00:00+00:00,0.0,-1.8,0.5,6,0,4,2,False,0.0,9,18
2021-09-03 03:00:00+00:00,0.0,-2.0,1.5,6,0,4,3,False,0.0,9,18
2021-09-03 04:00:00+00:00,0.0,-1.9,0.7,6,5,4,4,False,0.0,9,18
2021-09-03 05:00:00+00:00,0.0,-1.7,1.1,6,3,4,5,False,5.0,9,18
2021-09-03 06:00:00+00:00,0.0,-2.0,0.7,6,8,4,6,False,3.0,9,18
2021-09-03 07:00:00+00:00,0.0,-2.6,1.0,8,2,4,7,False,8.0,9,13
2021-09-03 08:00:00+00:00,0.0,-0.7,0.9,8,1,4,8,False,2.0,9,14
2021-09-03 09:00:00+00:00,0.0,0.7,1.1,8,3,4,9,False,1.0,9,16
2021-09-03 10:00:00+00:00,0.0,1.2,1.1,3,1,4,10,False,3.0,9,18
2021-09-03 11:00:00+00:00,0.0,4.2,1.0,3,4,4,11,False,1.0,9,17
2021-09-03 12:00:00+00:00,0.0,6.0,1.5,3,5,4,12,False,4.0,9,17
2021-09-03 13:00:00+00:00,0.0,6.2,2.0,3,5,4,13,False,5.0,9,17
2021-09-03 14:00:00+00:00,0.0,5.7,1.8,3,3,4,14,False,5.0,9,17
2021-09-03 15:00:00+00:00,0.0,6.3,3.0,3,1,4,15,False,3.0,9,14
2021-09-03 16:00:00+00:00,0.0,6.1,2.3,6,3,4,16,False,1.0,9,12
2021-09-03 17:00:00+00:00,0.0,5.8,1.4,6,2,4,17,False,3.0,9,18
2021-09-03 18:00:00+00:00,0.0,5.0,1.0,6,2,4,18,False,2.0,9,18
2021-09-03 19:00:00+00:00,0.0,4.6,1.3,6,2,4,19,False,2.0,9,18
2021-09-03 20:00:00+00:00,0.0,3.5,2.4,6,0,4,20,False,2.0,9,17
2021-09-03 21:00:00+00:00,0.0,3.1,2.6,6,3,4,21,False,0.0,9,17
2021-09-03 22:00:00+00:00,0.0,2.7,2.9,7,0,4,22,False,3.0,9,16
2021-09-03 23:00:00+00:00,0.0,1.5,2.6,7,0,4,23,False,0.0,9,18
2021-09-04 00:00:00+00:00,0.0,5.4,5.4,8,0,5,0,False,0.0,9,16
2021-09-04 01:00:00+00:00,0.0,5.7,5.4,8,0,5,1,False,0.0,9,18
2021-09-04 02:00:00+00:00,1.3,4.7,4.2,8,0,5,2,False,0.0,9,18
2021-09-04 03:00:00+00:00,0.0,3.6,3.4,8,0,5,3,False,0.0,9,18
2021-09-04 04:00:00+00:00,0.0,2.5,2.0,8,0,5,4,False,0.0,9,18
2021-09-04 05:00:00+00:00,0.0,2.8,4.3,8,0,5,5,False,0.0,9,18
2021-09-04 06:00:00+00:00,0.0,2.9,4.6,8,2,5,6,False,0.0,9,18
2021-09-04 07:00:00+00:00,0.0,2.9,5.7,7,1,5,7,False,2.0,9,18
2021-09-04 08:00:00+00:00,0.0,3.6,3.9,7,0,5,8,False,1.0,9,17
2021-09-04 09:00:00+00:00,0.0,4.3,4.1,7,2,5,9,False,0.0,9,16
2021-09-04 10:00:00+00:00,0.0,7.0,4.4,6,3,5,10,False,2.0,9,15
2021-09-04 11:00:00+00:00,0.1,7.4,3.8,6,1,5,11,False,3.0,9,17
2021-09-04 12:00:00+00:00,0.0,9.0,6.1,6,0,5,12,False,1.0,9,18
2021-09-04 13:00:00+00:00,0.0,9.9,7.1,4,3,5,13,False,0.0,9,17
2021-09-04 14:00:00+00:00,0.0,7.9,2.9,4,7,5,14,False,3.0,9,17
2021-09-04 15:00:00+00:00,0.0,8.3,6.7,4,8,5,15,False,7.0,9,18
2021-09-04 16:00:00+00:00,0.0,9.0,7.1,4,7,5,16,False,8.0,9,16
2021-09-04 17:00:00+00:00,0.0,8.2,7.8,4,0,5,17,False,7.0,9,16
2021-09-04 18:00:00+00:00,0.0,7.2,6.8,4,3,5,18,False,0.0,9,8
2021-09-04 19:00:00+00:00,0.0,5.5,5.7,2,1,5,19,False,3.0,9,5
2021-09-04 20:00:00+00:00,0.0,3.7,4.8,2,1,5,20,False,1.0,9,4
2021-09-04 21:00:00+00:00,0.0,2.6,4.1,2,1,5,21,False,1.0,9,7
2021-09-04 22:00:00+00:00,0.0,1.8,3.0,0,1,5,22,False,1.0,9,8
2021-09-04 23:00:00+00:00,0.0,0.9,2.9,0,0,5,23,False,1.0,9,12
2021-09-05 00:00:00+00:00,0.0,6.0,3.1,7,0,6,0,False,0.0,9,11
2021-09-05 01:00:00+00:00,0.0,5.7,2.8,7,0,6,1,False,0.0,9,11
2021-09-05 02:00:00+00:00,0.0,5.7,1.9,7,0,6,2,False,0.0,9,11
2021-09-05 03:00:00+00:00,0.0,5.7,1.7,7,0,6,3,False,0.0,9,11
2021-09-05 04:00:00+00:00,0.0,5.7,1.6,7,0,6,4,False,0.0,9,11
2021-09-05 05:00:00+00:00,0.3,5.0,1.4,7,1,6,5,False,0.0,9,11
2021-09-05 06:00:00+00:00,0.1,5.2,3.0,7,0,6,6,False,1.0,9,11
2021-09-05 07:00:00+00:00,0.1,5.4,3.2,8,0,6,7,False,0.0,9,11
2021-09-05 08:00:00+00:00,0.0,5.8,2.4,8,1,6,8,False,0.0,9,10
2021-09-05 09:00:00+00:00,0.0,5.9,3.6,8,0,6,9,False,1.0,9,10
2021-09-05 10:00:00+00:00,0.0,5.9,3.7,8,0,6,10,False,0.0,9,11
2021-09-05 11:00:00+00:00,0.0,6.2,2.2,8,1,6,11,False,0.0,9,10
2021-09-05 12:00:00+00:00,0.1,6.0,2.0,8,5,6,12,False,1.0,9,10
2021-09-05 13:00:00+00:00,0.3,6.2,2.0,8,1,6,13,False,5.0,9,11
2021-09-05 14:00:00+00:00,2.5,6.3,2.2,8,3,6,14,False,1.0,9,10
2021-09-05 15:00:00+00:00,1.4,6.5,2.4,8,2,6,15,False,3.0,9,8
2021-09-05 16:00:00+00:00,2.4,6.6,3.9,8,3,6,16,False,2.0,9,10
2021-09-05 17:00:00+00:00,0.6,7.0,4.0,8,0,6,17,False,3.0,9,10
2021-09-05 18:00:00+00:00,0.3,6.6,4.3,8,0,6,18,False,0.0,9,13
2021-09-05 19:00:00+00:00,0.2,6.6,3.8,8,1,6,19,False,0.0,9,12
2021-09-05 20:00:00+00:00,0.0,6.8,3.7,8,0,6,20,False,1.0,9,13
2021-09-05 21:00:00+00:00,0.3,6.9,3.6,8,0,6,21,False,0.0,9,16
2021-09-05 22:00:00+00:00,0.0,6.9,2.7,8,0,6,22,False,0.0,9,16
2021-09-05 23:00:00+00:00,0.0,7.0,2.4,8,0,6,23,False,0.0,9,17
2021-09-06 00:00:00+00:00,0.0,14.2,1.7,5,0,0,0,False,0.0,9,17
2021-09-06 01:00:00+00:00,0.0,13.6,1.4,5,0,0,1,False,0.0,9,17
2021-09-06 02:00:00+00:00,0.0,14.1,1.3,5,0,0,2,False,0.0,9,17
2021-09-06 03:00:00+00:00,0.0,13.5,1.6,5,2,0,3,False,0.0,9,17
2021-09-06 04:00:00+00:00,0.0,12.7,1.8,5,1,0,4,False,2.0,9,17
2021-09-06 05:00:00+00:00,0.0,13.1,0.9,5,9,0,5,False,1.0,9,17
2021-09-06 06:00:00+00:00,0.0,14.2,1.1,5,9,0,6,False,9.0,9,15
2021-09-06 07:00:00+00:00,0.0,16.2,1.0,7,7,0,7,False,9.0,9,15
2021-09-06 08:00:00+00:00,0.0,17.0,1.6,7,1,0,8,False,7.0,9,12
2021-09-06 09:00:00+00:00,0.0,18.6,2.6,7,1,0,9,False,1.0,9,17
2021-09-06 10:00:00+00:00,0.0,18.5,2.8,2,1,0,10,False,1.0,9,12
2021-09-06 11:00:00+00:00,0.0,18.9,3.5,2,1,0,11,False,1.0,9,15
2021-09-06 12:00:00+00:00,0.0,20.3,2.7,2,6,0,12,False,1.0,9,16
2021-09-06 13:00:00+00:00,0.0,20.7,3.0,1,5,0,13,False,6.0,9,17
2021-09-06 14:00:00+00:00,0.0,21.8,3.0,1,2,0,14,False,5.0,9,18
2021-09-06 15:00:00+00:00,0.0,21.3,3.3,1,7,0,15,False,2.0,9,14
2021-09-06 16:00:00+00:00,0.0,21.6,3.8,1,1,0,16,False,7.0,9,17
2021-09-06 17:00:00+00:00,0.0,21.2,4.3,1,3,0,17,False,1.0,9,16
2021-09-06 18:00:00+00:00,0.0,20.1,4.2,1,1,0,18,False,3.0,9,11
2021-09-06 19:00:00+00:00,0.0,19.2,3.4,2,0,0,19,False,1.0,9,13
2021-09-06 20:00:00+00:00,0.0,17.6,3.3,2,1,0,20,False,0.0,9,16
2021-09-06 21:00:00+00:00,0.0,16.2,2.5,2,1,0,21,False,1.0,9,15
2021-09-06 22:00:00+00:00,0.0,15.6,2.4,2,0,0,22,False,1.0,9,16
2021-09-06 23:00:00+00:00,0.0,14.4,2.6,2,0,0,23,False,0.0,9,16
2021-09-07 00:00:00+00:00,0.0,15.3,0.6,2,0,1,0,False,0.0,9,16
2021-09-07 01:00:00+00:00,0.0,15.0,1.2,2,0,1,1,False,0.0,9,16
2021-09-07 02:00:00+00:00,0.1,13.9,1.4,2,0,1,2,False,0.0,9,16
2021-09-07 03:00:00+00:00,0.0,13.5,2.0,2,0,1,3,False,0.0,9,16
2021-09-07 04:00:00+00:00,0.0,13.8,1.6,2,1,1,4,False,0.0,9,16
2021-09-07 05:00:00+00:00,0.0,13.9,1.8,2,9,1,5,False,1.0,9,16
2021-09-07 06:00:00+00:00,0.0,14.9,2.8,2,9,1,6,False,9.0,9,16
2021-09-07 07:00:00+00:00,0.0,18.0,1.2,7,4,1,7,False,9.0,9,14
2021-09-07 08:00:00+00:00,0.0,19.1,1.4,7,5,1,8,False,4.0,9,11
2021-09-07 09:00:00+00:00,0.0,19.7,1.7,7,0,1,9,False,5.0,9,13
2021-09-07 10:00:00+00:00,0.0,20.1,2.4,7,1,1,10,False,0.0,9,11
2021-09-07 11:00:00+00:00,0.0,21.2,1.5,7,2,1,11,False,1.0,9,8
2021-09-07 12:00:00+00:00,0.0,22.0,1.7,7,3,1,12,False,2.0,9,10
2021-09-07 13:00:00+00:00,0.0,22.7,1.8,3,1,1,13,False,3.0,9,9
2021-09-07 14:00:00+00:00,0.0,23.6,1.5,3,5,1,14,False,1.0,9,7
2021-09-07 15:00:00+00:00,0.0,25.0,1.9,3,3,1,15,False,5.0,9,5
2021-09-07 16:00:00+00:00,0.0,20.3,5.1,7,2,1,16,False,3.0,9,6
2021-09-07 17:00:00+00:00,4.0,17.8,2.9,7,2,1,17,False,2.0,9,14
2021-09-07 18:00:00+00:00,0.1,19.3,2.2,7,2,1,18,False,2.0,9,14
2021-09-07 19:00:00+00:00,0.0,20.2,1.7,7,0,1,19,False,2.0,9,15
2021-09-07 20:00:00+00:00,0.0,19.2,1.9,7,1,1,20,False,0.0,9,16
2021-09-07 21:00:00+00:00,0.0,17.9,2.2,7,2,1,21,False,1.0,9,15
2021-09-07 22:00:00+00:00,0.0,17.7,2.5,4,0,1,22,False,2.0,9,16
2021-09-07 23:00:00+00:00,0.0,17.5,3.1,4,0,1,23,False,0.0,9,15
2021-09-08 00:00:00+00:00,0.0,15.6,1.4,5,0,2,0,False,0.0,9,14
2021-09-08 01:00:00+00:00,0.0,15.4,1.1,5,0,2,1,False,0.0,9,14
2021-09-08 02:00:00+00:00,0.0,15.4,1.3,5,0,2,2,False,0.0,9,14
2021-09-08 03:00:00+00:00,0.0,14.9,0.5,5,0,2,3,False,0.0,9,14
2021-09-08 04:00:00+00:00,0.0,14.9,0.9,5,2,2,4,False,0.0,9,14
2021-09-08 05:00:00+00:00,0.0,15.1,0.9,5,7,2,5,False,2.0,9,14
2021-09-08 06:00:00+00:00,0.0,15.2,1.0,5,9,2,6,False,7.0,9,14
2021-09-08 07:00:00+00:00,0.0,15.7,1.4,7,4,2,7,False,9.0,9,12
2021-09-08 08:00:00+00:00,0.0,18.0,1.5,7,2,2,8,False,4.0,9,3
2021-09-08 09:00:00+00:00,0.0,17.9,2.1,7,1,2,9,False,2.0,9,1
2021-09-08 10:00:00+00:00,0.0,19.5,2.6,6,1,2,10,False,1.0,9,0
2021-09-08 11:00:00+00:00,0.0,18.3,1.7,6,4,2,11,False,1.0,9,0
2021-09-08 12:00:00+00:00,0.0,18.4,2.4,6,6,2,12,False,4.0,9,0
2021-09-08 13:00:00+00:00,0.7,19.7,1.7,6,3,2,13,False,6.0,9,3
2021-09-08 14:00:00+00:00,2.0,19.4,1.9,6,5,2,14,False,3.0,9,7
2021-09-08 15:00:00+00:00,0.0,20.6,4.6,6,5,2,15,False,5.0,9,3
2021-09-08 16:00:00+00:00,0.0,20.7,4.8,2,6,2,16,False,5.0,9,1
2021-09-08 17:00:00+00:00,0.0,19.8,4.6,2,3,2,17,False,6.0,9,2
2021-09-08 18:00:00+00:00,0.0,19.0,5.1,2,2,2,18,False,3.0,9,9
2021-09-08 19:00:00+00:00,0.0,17.7,4.6,3,1,2,19,False,2.0,9,11
2021-09-08 20:00:00+00:00,0.0,17.1,3.6,3,3,2,20,False,1.0,9,12
2021-09-08 21:00:00+00:00,0.0,17.0,3.1,3,1,2,21,False,3.0,9,16
2021-09-08 22:00:00+00:00,0.3,16.5,4.0,7,0,2,22,False,1.0,9,17
2021-09-08 23:00:00+00:00,0.0,16.2,3.2,7,0,2,23,False,0.0,9,15
2021-09-09 00:00:00+00:00,0.0,13.7,0.2,0,0,3,0,False,0.0,9,15
2021-09-09 01:00:00+00:00,0.0,13.6,1.3,0,0,3,1,False,0.0,9,15
2021-09-09 02:00:00+00:00,0.0,13.6,0.2,0,0,3,2,False,0.0,9,15
2021-09-09 03:00:00+00:00,0.0,15.0,1.5,0,0,3,3,False,0.0,9,15
2021-09-09 04:00:00+00:00,0.0,14.9,1.0,0,0,3,4,False,0.0,9,15
2021-09-09 05:00:00+00:00,0.0,14.6,1.1,0,7,3,5,False,0.0,9,15
2021-09-09 06:00:00+00:00,0.0,14.5,1.8,0,11,3,6,False,7.0,9,15
2021-09-09 07:00:00+00:00,0.0,14.6,1.5,8,6,3,7,False,11.0,9,15
2021-09-09 08:00:00+00:00,0.0,15.0,1.4,8,1,3,8,False,6.0,9,13
2021-09-09 09:00:00+00:00,0.0,15.7,1.2,8,1,3,9,False,1.0,9,10
2021-09-09 10:00:00+00:00,0.0,17.1,1.4,8,1,3,10,False,1.0,9,8
2021-09-09 11:00:00+00:00,0.0,18.8,2.3,8,0,3,11,False,1.0,9,9
2021-09-09 12:00:00+00:00,0.0,19.1,1.4,8,4,3,12,False,0.0,9,10
2021-09-09 13:00:00+00:00,0.0,21.5,2.0,4,4,3,13,False,4.0,9,11
2021-09-09 14:00:00+00:00,0.0,23.0,2.4,4,13,3,14,False,4.0,9,16
2021-09-09 15:00:00+00:00,0.0,23.4,1.5,4,5,3,15,False,13.0,9,15
2021-09-09 16:00:00+00:00,0.0,24.2,2.2,5,1,3,16,False,5.0,9,15
2021-09-09 17:00:00+00:00,0.0,23.2,2.0,5,3,3,17,False,1.0,9,11
2021-09-09 18:00:00+00:00,0.0,21.3,2.0,5,1,3,18,False,3.0,9,12
2021-09-09 19:00:00+00:00,0.0,19.1,1.8,2,3,3,19,False,1.0,9,13
2021-09-09 20:00:00+00:00,0.0,17.6,0.8,2,2,3,20,False,3.0,9,14
2021-09-09 21:00:00+00:00,0.0,16.2,0.2,2,0,3,21,False,2.0,9,16
2021-09-09 22:00:00+00:00,0.0,15.0,0.3,3,0,3,22,False,0.0,9,14
2021-09-09 23:00:00+00:00,0.0,14.4,0.4,3,0,3,23,False,0.0,9,13
2021-09-13 00:00:00+00:00,0.0,11.4,2.7,5,0,0,0,False,0.0,9,11
2021-09-13 01:00:00+00:00,0.0,10.2,1.4,5,0,0,1,False,0.0,9,11
2021-09-13 02:00:00+00:00,0.0,9.5,1.6,5,0,0,2,False,0.0,9,11
2021-09-13 03:00:00+00:00,0.0,8.4,1.7,5,0,0,3,False,0.0,9,11
2021-09-13 04:00:00+00:00,0.0,7.9,0.9,5,4,0,4,False,0.0,9,11
2021-09-13 05:00:00+00:00,0.0,7.8,0.8,5,9,0,5,False,4.0,9,11
2021-09-13 06:00:00+00:00,0.0,7.3,0.5,5,10,0,6,False,9.0,9,11
2021-09-13 07:00:00+00:00,0.0,8.2,1.7,6,7,0,7,False,10.0,9,11
2021-09-13 08:00:00+00:00,0.0,11.1,1.0,6,2,0,8,False,7.0,9,6
2021-09-13 09:00:00+00:00,0.0,12.9,0.9,6,2,0,9,False,2.0,9,1
2021-09-13 10:00:00+00:00,0.0,14.8,1.2,6,2,0,10,False,2.0,9,0
2021-09-13 11:00:00+00:00,0.0,15.8,2.5,6,2,0,11,False,2.0,9,1
2021-09-13 12:00:00+00:00,0.0,15.8,2.2,6,2,0,12,False,2.0,9,1
2021-09-13 13:00:00+00:00,0.0,17.4,2.3,4,5,0,13,False,2.0,9,0
2021-09-13 14:00:00+00:00,0.0,16.1,3.3,4,6,0,14,False,5.0,9,2
2021-09-13 15:00:00+00:00,0.0,17.2,3.4,4,2,0,15,False,6.0,9,2
2021-09-13 16:00:00+00:00,0.0,17.1,1.9,5,2,0,16,False,2.0,9,1
2021-09-13 17:00:00+00:00,0.0,16.7,1.6,5,3,0,17,False,2.0,9,1
2021-09-13 18:00:00+00:00,0.0,15.6,2.2,5,2,0,18,False,3.0,9,4
2021-09-13 19:00:00+00:00,0.0,13.6,2.3,3,0,0,19,False,2.0,9,10
2021-09-13 20:00:00+00:00,0.0,12.8,1.9,3,2,0,20,False,0.0,9,16
2021-09-13 21:00:00+00:00,0.0,12.1,1.4,3,1,0,21,False,2.0,9,16
