dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,availability 8,availability 9,availability 10,availability 11,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2020-06-23 07:00:00,1,1,0,1,1,1,1,1,1,1,1,0,0.0,15.9,1.6,6,0,0.0,False,1,6,1.3636363636363635
2020-06-23 08:00:00,1,1,0,1,1,1,1,1,1,1,1,1,0.0,18.2,0.7,7,0,0.0,False,1,6,2.1818181818181817
2020-06-23 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,19.3,1.4,8,2,0.0,False,1,6,0.6363636363636364
2020-06-23 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.9,1.4,9,1,2.0,False,1,6,0.9090909090909091
2020-06-23 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.4,1.6,10,0,1.0,False,1,6,1.9090909090909092
2020-06-23 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,22.7,2.4,11,1,0.0,False,1,6,2.090909090909091
2020-06-23 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,23.9,2.1,12,7,1.0,False,1,6,2.090909090909091
2020-06-23 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,24.5,2.1,13,10,7.0,False,1,6,3.1818181818181817
2020-06-23 15:00:00,0,1,1,1,1,1,1,1,1,1,1,1,0.0,25.5,3.0,14,9,10.0,False,1,6,7.363636363636363
2020-06-23 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.4,3.5,15,6,9.0,False,1,6,8.545454545454545
2020-06-23 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.4,2.3,16,8,6.0,False,1,6,7.363636363636363
2020-06-23 18:00:00,1,1,1,1,1,1,0,1,1,1,1,0,0.0,24.9,3.2,17,4,8.0,False,1,6,6.7272727272727275
2020-06-23 19:00:00,1,1,1,1,1,1,0,0,0,1,1,1,0.0,24.1,3.9,18,11,4.0,False,1,6,5.818181818181818
2020-06-23 20:00:00,1,1,1,1,1,1,0,1,1,1,1,1,0.0,23.2,2.8,19,8,11.0,False,1,6,3.8181818181818183
2020-06-23 21:00:00,1,1,1,1,1,1,0,1,1,1,1,1,0.0,21.7,3.2,20,6,8.0,False,1,6,3.6363636363636362
2020-06-23 22:00:00,1,1,1,1,1,1,0,1,1,1,1,1,0.0,20.3,2.9,21,4,6.0,False,1,6,4.090909090909091
2020-06-23 23:00:00,1,1,1,1,1,1,0,1,1,1,1,1,0.0,19.0,2.5,22,2,4.0,False,1,6,2.3636363636363638
2020-06-23 00:00:00,0,1,1,1,1,1,0,1,1,1,1,1,0.0,18.0,1.9,23,0,2.0,False,1,6,0.0
2020-06-24 01:00:00,0,0,1,1,1,1,1,0,1,1,1,1,0.0,16.8,0.7,0,0,,False,2,6,0.0
2020-06-24 02:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0.0,15.4,0.5,1,0,0.0,False,2,6,0.0
2020-06-24 03:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0.0,14.7,1.5,2,0,0.0,False,2,6,0.0
2020-06-24 04:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0.0,14.0,1.0,3,1,0.0,False,2,6,0.0
2020-06-24 05:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0.0,14.4,1.3,4,0,1.0,False,2,6,0.0
2020-06-24 06:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0.0,15.8,1.5,5,1,0.0,False,2,6,0.36363636363636365
2020-06-24 07:00:00,0,1,1,1,1,1,1,1,1,1,1,1,0.0,17.9,1.1,6,1,1.0,False,2,6,0.6363636363636364
2020-06-24 08:00:00,0,1,1,1,1,1,1,1,1,1,1,1,0.0,18.5,1.6,7,1,1.0,False,2,6,2.272727272727273
2020-06-24 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.1,1.2,8,3,1.0,False,2,6,1.0
2020-06-24 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.4,1.6,9,2,3.0,False,2,6,1.8181818181818181
2020-06-24 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,22.4,2.1,10,2,2.0,False,2,6,2.090909090909091
2020-06-24 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,24.0,2.1,11,0,2.0,False,2,6,2.090909090909091
2020-06-24 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,24.7,2.3,12,2,0.0,False,2,6,3.1818181818181817
2020-06-24 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.4,2.6,13,18,2.0,False,2,6,3.1818181818181817
2020-06-24 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.9,3.2,14,9,18.0,False,2,6,5.0
2020-06-24 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.3,2.9,15,7,9.0,False,2,6,9.0
2020-06-24 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.8,3.5,16,11,7.0,False,2,6,8.818181818181818
2020-06-24 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.1,3.4,17,7,11.0,False,2,6,5.636363636363637
2020-06-24 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.0,3.4,18,4,7.0,False,2,6,6.818181818181818
2020-06-24 20:00:00,1,1,1,1,1,1,1,1,1,1,1,0,0.0,25.0,3.0,19,10,4.0,False,2,6,5.818181818181818
2020-06-24 21:00:00,1,1,1,1,1,1,1,0,1,1,1,0,0.0,23.5,3.0,20,1,10.0,False,2,6,6.7272727272727275
2020-06-24 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.9,3.4,21,3,1.0,False,2,6,5.181818181818182
2020-06-24 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.4,2.4,22,0,3.0,False,2,6,2.8181818181818183
2020-06-24 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,19.0,2.6,23,0,0.0,False,2,6,0.0
2020-06-25 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.1,2.6,0,0,,False,3,6,0.0
2020-06-25 02:00:00,1,1,1,1,1,1,1,1,1,0,0,1,0.0,16.8,0.7,1,0,0.0,False,3,6,0.0
2020-06-25 03:00:00,1,1,1,1,1,1,1,1,1,0,0,1,0.0,16.8,0.4,2,0,0.0,False,3,6,0.0
2020-06-25 04:00:00,1,1,1,1,1,1,1,1,1,0,0,1,0.0,17.7,1.1,3,0,0.0,False,3,6,0.0
2020-06-25 05:00:00,1,1,1,1,1,1,1,1,1,0,0,1,0.0,17.8,1.5,4,0,0.0,False,3,6,0.0
2020-06-25 06:00:00,1,1,1,1,1,1,1,1,1,0,0,1,0.0,17.7,1.5,5,1,0.0,False,3,6,0.6363636363636364
2020-06-25 07:00:00,1,1,1,1,1,1,1,1,1,0,0,1,0.0,18.4,1.5,6,0,1.0,False,3,6,1.2727272727272727
2020-06-25 08:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,18.8,1.2,7,0,0.0,False,3,6,1.9090909090909092
2020-06-25 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.2,1.2,8,3,0.0,False,3,6,1.2727272727272727
2020-06-25 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.7,1.6,9,3,3.0,False,3,6,1.4545454545454546
2020-06-25 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,23.3,1.4,10,1,3.0,False,3,6,3.6363636363636362
2020-06-25 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.1,2.9,11,7,1.0,False,3,6,2.5454545454545454
2020-06-25 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.3,2.9,12,3,7.0,False,3,6,3.4545454545454546
2020-06-25 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.6,4.2,13,10,3.0,False,3,6,3.909090909090909
2020-06-25 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.7,4.6,14,12,10.0,False,3,6,7.0
2020-06-25 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.5,4.2,15,9,12.0,False,3,6,8.636363636363637
2020-06-25 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.9,4.8,16,8,9.0,False,3,6,9.272727272727273
2020-06-25 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.5,4.9,17,1,8.0,False,3,6,5.454545454545454
2020-06-25 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.3,3.3,18,4,1.0,False,3,6,5.363636363636363
2020-06-25 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,24.2,4.1,19,2,4.0,False,3,6,3.909090909090909
2020-06-25 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,23.1,3.1,20,3,2.0,False,3,6,6.181818181818182
2020-06-25 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.5,3.2,21,2,3.0,False,3,6,4.181818181818182
2020-06-25 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.1,2.1,22,3,2.0,False,3,6,4.545454545454546
2020-06-25 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.6,1.1,23,0,3.0,False,3,6,0.0
2020-06-26 01:00:00,1,1,1,1,1,1,1,0,1,0,1,1,0.0,17.4,0.6,0,0,,False,4,6,0.2727272727272727
2020-06-26 02:00:00,1,1,1,1,1,1,1,0,1,0,1,1,0.0,16.0,2.1,1,0,0.0,False,4,6,0.0
2020-06-26 03:00:00,1,1,1,1,1,1,1,0,1,0,1,1,0.0,15.2,1.4,2,0,0.0,False,4,6,0.0
2020-06-26 04:00:00,1,1,1,1,1,1,1,0,1,0,1,1,0.0,14.5,2.0,3,0,0.0,False,4,6,0.0
2020-06-26 05:00:00,1,1,1,1,1,1,1,0,1,0,1,1,0.0,14.7,2.2,4,0,0.0,False,4,6,0.09090909090909091
2020-06-26 06:00:00,1,1,1,1,1,1,1,0,1,0,1,1,0.0,16.8,1.6,5,1,0.0,False,4,6,0.36363636363636365
2020-06-26 07:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,18.6,1.0,6,0,1.0,False,4,6,0.45454545454545453
2020-06-26 08:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,20.4,1.1,7,0,0.0,False,4,6,1.2727272727272727
2020-06-26 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.5,2.1,8,2,0.0,False,4,6,1.0
2020-06-26 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,23.7,2.1,9,1,2.0,False,4,6,1.4545454545454546
2020-06-26 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,24.9,2.8,10,3,1.0,False,4,6,2.4545454545454546
2020-06-26 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.9,3.3,11,4,3.0,False,4,6,2.4545454545454546
2020-06-26 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.2,3.1,12,10,4.0,False,4,6,3.8181818181818183
2020-06-26 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.8,4.0,13,7,10.0,False,4,6,4.363636363636363
2020-06-26 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.6,4.7,14,8,7.0,False,4,6,7.7272727272727275
2020-06-26 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,28.3,4.5,15,12,8.0,False,4,6,8.181818181818182
2020-06-26 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,28.8,3.5,16,8,12.0,False,4,6,7.0
2020-06-26 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.6,3.6,17,6,8.0,False,4,6,5.7272727272727275
2020-06-26 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.9,4.3,18,20,6.0,False,4,6,6.363636363636363
2020-06-26 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.1,25.4,3.1,19,5,20.0,False,4,6,6.181818181818182
2020-06-26 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,24.2,2.5,20,5,5.0,False,4,6,4.909090909090909
2020-06-26 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,22.8,1.4,21,4,5.0,False,4,6,2.6363636363636362
2020-06-26 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.8,0.6,22,2,4.0,False,4,6,3.3636363636363638
2020-06-26 00:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,18.9,1.8,23,0,2.0,False,4,6,0.0
2020-06-27 01:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,18.2,2.1,0,0,,False,5,6,0.0
2020-06-27 02:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,17.8,1.8,1,0,0.0,False,5,6,0.0
2020-06-27 03:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,17.8,2.0,2,0,0.0,False,5,6,0.0
2020-06-27 04:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,18.1,2.2,3,6,0.0,False,5,6,0.0
2020-06-27 05:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,17.8,0.6,4,0,6.0,False,5,6,0.0
2020-06-27 06:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,19.3,2.8,5,0,0.0,False,5,6,0.0
2020-06-27 07:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,20.6,0.4,6,0,0.0,False,5,6,0.0
2020-06-27 08:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,23.9,0.3,7,0,0.0,False,5,6,0.6363636363636364
2020-06-27 09:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,23.5,0.6,8,3,0.0,False,5,6,0.5454545454545454
2020-06-27 10:00:00,1,1,1,1,1,1,1,1,0,1,1,1,0.0,25.9,1.6,9,1,3.0,False,5,6,1.1818181818181819
2020-06-27 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,25.5,1.1,10,4,1.0,False,5,6,1.9090909090909092
2020-06-27 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,27.1,2.5,11,2,4.0,False,5,6,3.1818181818181817
2020-06-27 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,28.6,2.1,12,5,2.0,False,5,6,3.090909090909091
2020-06-27 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,30.0,1.2,13,7,5.0,False,5,6,4.545454545454546
2020-06-27 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,30.7,2.4,14,8,7.0,False,5,6,5.818181818181818
2020-06-27 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,29.9,1.9,15,10,8.0,False,5,6,4.909090909090909
2020-06-27 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,28.7,4.6,16,7,10.0,False,5,6,6.090909090909091
2020-06-27 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,26.5,2.0,17,3,7.0,False,5,6,7.7272727272727275
2020-06-27 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,23.8,1.9,18,11,3.0,False,5,6,4.909090909090909
2020-06-27 20:00:00,1,0,1,1,1,1,1,1,1,1,1,1,0.0,24.4,1.4,19,8,11.0,False,5,6,2.6363636363636362
2020-06-27 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.1,23.7,1.6,20,2,8.0,False,5,6,1.6363636363636365
2020-06-27 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,22.9,1.7,21,2,2.0,False,5,6,2.8181818181818183
2020-06-27 23:00:00,1,1,1,1,1,1,1,0,1,1,1,1,0.0,21.7,2.4,22,1,2.0,False,5,6,2.8181818181818183
2020-06-27 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,21.5,2.4,23,0,1.0,False,5,6,0.0
2020-06-28 01:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,21.8,1.8,0,0,,False,6,6,0.0
2020-06-28 02:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,21.1,0.1,1,0,0.0,False,6,6,0.0
2020-06-28 03:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,20.2,0.2,2,0,0.0,False,6,6,0.0
2020-06-28 04:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.5,19.7,0.7,3,1,0.0,False,6,6,0.0
2020-06-28 05:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,18.7,2.1,4,0,1.0,False,6,6,0.0
2020-06-28 06:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,19.5,2.1,5,0,0.0,False,6,6,0.0
2020-06-28 07:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,20.4,1.8,6,0,0.0,False,6,6,0.0
2020-06-28 08:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,21.1,2.7,7,1,0.0,False,6,6,0.18181818181818182
2020-06-28 09:00:00,1,1,1,1,1,1,1,1,1,0,1,1,14.1,17.4,0.5,8,0,1.0,False,6,6,0.0
2020-06-28 10:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.1,18.3,1.8,9,0,0.0,False,6,6,0.0
2020-06-28 11:00:00,1,1,1,1,1,1,1,1,1,0,1,1,1.0,18.9,0.5,10,0,0.0,False,6,6,0.5454545454545454
2020-06-28 12:00:00,1,1,1,1,1,1,1,1,1,0,1,1,3.0,19.2,1.3,11,1,0.0,False,6,6,0.0
2020-06-28 13:00:00,1,1,1,1,1,1,1,1,1,0,1,1,2.0,18.9,2.7,12,1,1.0,False,6,6,0.8181818181818182
2020-06-28 14:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.1,19.4,1.7,13,1,1.0,False,6,6,1.0909090909090908
2020-06-28 15:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,21.1,1.6,14,1,1.0,False,6,6,1.6363636363636365
2020-06-28 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1.6,19.0,5.0,15,4,1.0,False,6,6,0.45454545454545453
2020-06-28 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,3.2,17.4,3.5,16,4,4.0,False,6,6,2.090909090909091
2020-06-28 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.6,2.1,17,3,4.0,False,6,6,3.4545454545454546
2020-06-28 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.9,2.6,18,3,3.0,False,6,6,2.1818181818181817
2020-06-28 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,17.9,3.2,19,1,3.0,False,6,6,0.8181818181818182
2020-06-28 21:00:00,1,1,1,1,1,1,1,0,1,1,1,1,0.6,16.0,2.3,20,0,1.0,False,6,6,0.7272727272727273
2020-06-28 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.2,15.6,1.8,21,0,0.0,False,6,6,1.1818181818181819
2020-06-28 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,15.1,0.8,22,1,0.0,False,6,6,0.9090909090909091
2020-06-28 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,14.6,1.5,23,0,1.0,False,6,6,0.0
2020-06-29 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,15.0,2.2,0,0,,False,0,6,0.0
2020-06-29 02:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,15.4,3.1,1,0,0.0,False,0,6,0.0
2020-06-29 03:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,14.7,3.0,2,0,0.0,False,0,6,0.0
2020-06-29 04:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,14.5,3.2,3,0,0.0,False,0,6,0.0
2020-06-29 05:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,13.9,2.4,4,0,0.0,False,0,6,0.0
2020-06-29 06:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,13.5,0.5,5,1,0.0,False,0,6,0.0
2020-06-29 07:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,14.9,2.7,6,5,1.0,False,0,6,0.0
2020-06-29 08:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,16.4,2.5,7,1,5.0,False,0,6,0.0
2020-06-29 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,17.3,3.5,8,2,1.0,False,0,6,0.0
2020-06-29 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.5,3.5,9,3,2.0,False,0,6,0.0
2020-06-29 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,19.3,3.5,10,1,3.0,False,0,6,0.0
2020-06-29 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.0,4.3,11,4,1.0,False,0,6,0.0
2020-06-29 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,17.4,5.1,12,3,4.0,False,0,6,0.0
2020-06-29 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,19.0,5.6,13,6,3.0,False,0,6,0.0
2020-06-29 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.1,15.8,2.3,14,8,6.0,False,0,6,0.0
2020-06-29 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.5,1.9,15,4,8.0,False,0,6,0.0
2020-06-29 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.1,17.8,3.3,16,5,4.0,False,0,6,0.0
2020-06-29 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,16.2,2.8,17,5,5.0,False,0,6,0.0
2020-06-29 19:00:00,1,1,1,1,1,1,1,1,1,1,1,0,0.0,16.5,1.8,18,3,5.0,False,0,6,0.0
2020-06-29 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,17.4,1.1,19,3,3.0,False,0,6,0.0
2020-06-29 21:00:00,0,1,1,1,1,1,1,1,1,1,1,1,0.2,14.9,1.5,20,3,3.0,False,0,6,0.0
2020-06-29 22:00:00,0,1,1,1,1,1,1,1,1,1,1,1,0.0,15.1,1.8,21,0,3.0,False,0,6,0.0
2020-06-29 23:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.0,15.1,2.8,22,0,0.0,False,0,6,0.0
2020-06-29 00:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.0,15.3,3.6,23,0,0.0,False,0,6,0.0
2020-06-30 01:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.0,14.9,1.8,0,0,,False,1,6,0.0
2020-06-30 02:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.0,14.3,2.8,1,0,0.0,False,1,6,0.0
2020-06-30 03:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.0,14.0,2.6,2,0,0.0,False,1,6,0.0
2020-06-30 04:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.4,13.2,1.7,3,0,0.0,False,1,6,0.0
2020-06-30 05:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.4,12.7,1.3,4,0,0.0,False,1,6,0.0
2020-06-30 06:00:00,0,1,1,1,1,1,1,1,0,1,1,1,1.1,12.8,1.7,5,1,0.0,False,1,6,0.0
2020-06-30 07:00:00,0,1,1,1,1,1,1,1,0,1,1,1,0.7,13.0,1.4,6,1,1.0,False,1,6,0.0
2020-06-30 08:00:00,0,1,1,1,1,1,1,1,1,1,1,1,1.5,13.3,1.6,7,0,1.0,False,1,6,0.0
2020-06-30 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.6,14.0,1.6,8,0,0.0,False,1,6,0.0
2020-06-30 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,15.2,1.9,9,1,0.0,False,1,6,0.0
2020-06-30 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.2,15.0,2.4,10,1,1.0,False,1,6,0.0
2020-06-30 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.1,3.2,11,2,1.0,False,1,6,0.0
2020-06-30 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,16.0,3.0,12,0,2.0,False,1,6,0.0
2020-06-30 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,18.4,2.5,13,6,0.0,False,1,6,0.0
2020-06-30 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,19.6,2.7,14,3,6.0,False,1,6,0.0
2020-06-30 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,20.0,3.6,15,4,3.0,False,1,6,0.0
2020-06-30 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,19.1,4.2,16,2,4.0,False,1,6,0.0
2020-06-30 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.1,17.8,2.9,17,1,2.0,False,1,6,0.0
2020-06-30 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0.0,16.6,1.8,18,4,1.0,False,1,6,0.0
2020-06-30 20:00:00,1,1,1,1,1,1,1,0,1,1,1,1,8.7,13.0,2.2,19,0,4.0,False,1,6,0.0
2020-06-30 21:00:00,1,1,1,1,1,1,1,0,0,0,1,1,0.4,13.7,1.2,20,1,0.0,False,1,6,0.0
2020-06-30 22:00:00,1,1,1,1,1,1,1,0,1,1,1,1,0.0,13.6,0.4,21,0,1.0,False,1,6,0.0
2020-06-30 23:00:00,1,1,1,1,1,1,1,1,1,0,1,1,0.0,13.8,0.8,22,2,0.0,False,1,6,0.0
2020-06-30 00:00:00,0,1,1,1,1,1,1,0,0,0,1,1,0.1,13.9,0.5,23,0,2.0,False,1,6,0.0
