dateTime,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,availability,Mean_close_count_last_hour
2021-06-01 01:00:00,0.0,-10.6,0.4,0,0,,False,1,6,6,0.0
2021-06-01 02:00:00,0.0,-10.3,0.7,1,0,0.0,False,1,6,6,0.0
2021-06-01 03:00:00,0.0,-11.2,1.8,2,0,0.0,False,1,6,6,0.0
2021-06-01 04:00:00,0.0,-11.0,2.0,3,1,0.0,False,1,6,6,0.0
2021-06-01 05:00:00,0.0,-10.8,1.6,4,0,1.0,False,1,6,6,0.0
2021-06-01 06:00:00,0.0,-11.3,0.8,5,0,0.0,False,1,6,6,1.1666666666666667
2021-06-01 07:00:00,0.0,-11.0,0.7,6,0,0.0,False,1,6,6,1.5
2021-06-01 08:00:00,0.0,-11.1,0.8,7,1,0.0,False,1,6,6,1.8333333333333333
2021-06-01 09:00:00,0.0,-10.8,2.5,8,1,1.0,False,1,6,6,1.1666666666666667
2021-06-01 10:00:00,0.0,-10.8,1.8,9,2,1.0,False,1,6,6,1.5
2021-06-01 11:00:00,0.0,-10.7,2.0,10,2,2.0,False,1,6,6,0.8333333333333334
2021-06-01 12:00:00,0.0,-10.0,2.3,11,3,2.0,False,1,6,6,1.5
2021-06-01 13:00:00,0.0,-9.4,2.2,12,2,3.0,False,1,6,6,0.6666666666666666
2021-06-01 14:00:00,0.0,-9.3,4.0,13,3,2.0,False,1,6,6,0.6666666666666666
2021-06-01 15:00:00,0.0,-9.2,3.4,14,6,3.0,False,1,6,6,1.8333333333333333
2021-06-01 16:00:00,0.1,-9.3,3.9,15,4,6.0,False,1,6,6,3.5
2021-06-01 17:00:00,0.0,-9.1,4.8,16,2,4.0,False,1,6,6,3.1666666666666665
2021-06-01 18:00:00,0.0,-8.2,2.4,17,4,2.0,False,1,6,6,2.333333333333333
2021-06-01 19:00:00,0.0,-7.5,2.0,18,4,4.0,False,1,6,6,2.333333333333333
2021-06-01 20:00:00,0.0,-7.2,0.9,19,2,4.0,False,1,6,6,1.5
2021-06-01 21:00:00,0.0,-6.2,2.9,20,1,2.0,False,1,6,6,0.8333333333333334
2021-06-01 22:00:00,0.0,-5.5,4.6,21,0,1.0,False,1,6,6,2.0
2021-06-01 23:00:00,0.0,-5.5,5.3,22,0,0.0,False,1,6,6,0.1666666666666666
2021-06-01 00:00:00,0.0,-5.4,5.4,23,0,0.0,False,1,6,6,0.0
2021-06-02 01:00:00,0.0,-7.0,4.8,0,0,,False,2,6,6,0.0
2021-06-02 02:00:00,0.0,-7.0,3.8,1,0,0.0,False,2,6,6,0.0
2021-06-02 03:00:00,0.0,-6.2,3.9,2,0,0.0,False,2,6,6,0.0
2021-06-02 04:00:00,0.0,-6.5,4.1,3,0,0.0,False,2,6,6,0.0
2021-06-02 05:00:00,0.0,-6.5,4.4,4,1,0.0,False,2,6,6,0.0
2021-06-02 06:00:00,0.0,-7.2,3.4,5,0,1.0,False,2,6,6,0.8333333333333334
2021-06-02 07:00:00,0.0,-7.4,4.6,6,3,0.0,False,2,6,6,2.0
2021-06-02 08:00:00,0.0,-7.9,3.6,7,1,3.0,False,2,6,6,2.0
2021-06-02 09:00:00,0.0,-8.3,3.2,8,1,1.0,False,2,6,6,1.8333333333333333
2021-06-02 10:00:00,0.0,-8.2,3.7,9,2,1.0,False,2,6,6,1.8333333333333333
2021-06-02 11:00:00,0.0,-7.5,2.8,10,0,2.0,False,2,6,6,1.6666666666666667
2021-06-02 12:00:00,0.0,-6.0,5.1,11,2,0.0,False,2,6,6,1.3333333333333333
2021-06-02 13:00:00,0.0,-4.6,3.3,12,2,2.0,False,2,6,6,1.3333333333333333
2021-06-02 14:00:00,0.0,-3.9,2.5,13,1,2.0,False,2,6,6,0.6666666666666666
2021-06-02 15:00:00,0.0,-3.8,3.0,14,4,1.0,False,2,6,6,1.3333333333333333
2021-06-02 16:00:00,0.0,-4.1,4.2,15,9,4.0,False,2,6,6,2.833333333333333
2021-06-02 17:00:00,0.0,-4.6,3.0,16,2,9.0,False,2,6,6,3.8333333333333335
2021-06-02 18:00:00,0.0,-5.9,3.3,17,2,2.0,False,2,6,6,2.333333333333333
2021-06-02 19:00:00,0.0,-7.1,2.6,18,5,2.0,False,2,6,6,2.5
2021-06-02 20:00:00,0.0,-7.2,2.8,19,1,5.0,False,2,6,6,2.833333333333333
2021-06-02 21:00:00,0.0,-7.3,3.0,20,2,1.0,False,2,6,6,0.8333333333333334
2021-06-02 22:00:00,0.0,-7.1,3.9,21,0,2.0,False,2,6,6,1.5
2021-06-02 23:00:00,0.0,-6.5,6.8,22,0,0.0,False,2,6,6,0.0
2021-06-02 00:00:00,0.0,-6.6,5.3,23,0,0.0,False,2,6,6,0.0
2021-06-03 01:00:00,0.0,-3.1,0.6,0,0,,False,3,6,6,0.0
2021-06-03 02:00:00,0.0,-3.2,0.0,1,0,0.0,False,3,6,6,0.0
2021-06-03 03:00:00,0.0,-2.7,1.1,2,0,0.0,False,3,6,6,0.0
2021-06-03 04:00:00,0.0,-2.3,1.0,3,0,0.0,False,3,6,6,0.0
2021-06-03 05:00:00,0.0,-2.4,1.3,4,0,0.0,False,3,6,6,0.5
2021-06-03 06:00:00,0.0,-3.3,1.3,5,2,0.0,False,3,6,6,0.8333333333333334
2021-06-03 07:00:00,0.0,-3.7,0.8,6,3,2.0,False,3,6,6,1.8333333333333333
2021-06-03 08:00:00,0.0,-2.8,1.5,7,3,3.0,False,3,6,6,1.3333333333333333
2021-06-03 09:00:00,0.0,-1.9,1.3,8,0,3.0,False,3,6,6,2.0
2021-06-03 10:00:00,0.0,-1.4,1.0,9,1,0.0,False,3,6,6,0.8333333333333334
2021-06-03 11:00:00,0.0,-0.1,1.1,10,2,1.0,False,3,6,6,1.1666666666666667
2021-06-03 12:00:00,0.0,1.2,0.6,11,1,2.0,False,3,6,6,0.5
2021-06-03 13:00:00,0.0,2.3,1.6,12,1,1.0,False,3,6,6,1.5
2021-06-03 14:00:00,0.0,4.3,2.2,13,5,1.0,False,3,6,6,1.1666666666666667
2021-06-03 15:00:00,0.0,5.9,3.9,14,5,5.0,False,3,6,6,2.833333333333333
2021-06-03 16:00:00,0.0,7.6,6.5,15,5,5.0,False,3,6,6,4.166666666666667
2021-06-03 17:00:00,0.0,7.5,6.0,16,2,5.0,False,3,6,6,1.8333333333333333
2021-06-03 18:00:00,0.0,7.7,6.0,17,1,2.0,False,3,6,6,2.6666666666666665
2021-06-03 19:00:00,0.0,7.0,4.2,18,1,1.0,False,3,6,6,1.0
2021-06-03 20:00:00,0.0,7.1,5.8,19,3,1.0,False,3,6,6,2.1666666666666665
2021-06-03 21:00:00,0.0,6.7,5.7,20,6,3.0,False,3,6,6,1.0
2021-06-03 22:00:00,0.0,6.1,4.0,21,2,6.0,False,3,6,6,0.6666666666666666
2021-06-03 23:00:00,0.0,5.9,4.5,22,0,2.0,False,3,6,6,0.3333333333333333
2021-06-03 00:00:00,0.0,4.6,2.5,23,0,0.0,False,3,6,6,0.0
2021-06-04 01:00:00,0.0,2.2,6.1,0,0,,False,4,6,6,0.0
2021-06-04 02:00:00,0.0,2.1,5.3,1,0,0.0,False,4,6,6,0.0
2021-06-04 03:00:00,0.0,2.0,5.7,2,0,0.0,False,4,6,6,0.0
2021-06-04 04:00:00,0.0,1.6,2.5,3,0,0.0,False,4,6,6,0.0
2021-06-04 05:00:00,0.0,0.6,1.8,4,0,0.0,False,4,6,6,0.0
2021-06-04 06:00:00,0.0,1.4,3.5,5,1,0.0,False,4,6,6,0.1666666666666666
2021-06-04 07:00:00,0.0,0.9,1.5,6,4,1.0,False,4,6,6,1.1666666666666667
2021-06-04 08:00:00,0.0,2.1,2.5,7,2,4.0,False,4,6,6,1.5
2021-06-04 09:00:00,0.0,3.6,3.6,8,0,2.0,False,4,6,6,1.8333333333333333
2021-06-04 10:00:00,0.0,5.0,3.2,9,1,0.0,False,4,6,6,1.3333333333333333
2021-06-04 11:00:00,0.0,5.4,3.5,10,0,1.0,False,4,6,6,1.1666666666666667
2021-06-04 12:00:00,0.0,5.8,5.0,11,4,0.0,False,4,6,6,1.3333333333333333
2021-06-04 13:00:00,0.0,6.1,4.6,12,2,4.0,False,4,6,6,2.333333333333333
2021-06-04 14:00:00,0.0,6.8,4.3,13,3,2.0,False,4,6,6,1.3333333333333333
2021-06-04 15:00:00,0.0,8.5,4.1,14,2,3.0,False,4,6,6,2.5
2021-06-04 16:00:00,0.0,8.7,3.6,15,1,2.0,False,4,6,6,3.333333333333333
2021-06-04 17:00:00,0.0,8.6,4.6,16,2,1.0,False,4,6,6,2.1666666666666665
2021-06-04 18:00:00,0.0,6.4,7.5,17,3,2.0,False,4,6,6,1.8333333333333333
2021-06-04 19:00:00,0.0,2.7,5.1,18,2,3.0,False,4,6,6,1.6666666666666667
2021-06-04 20:00:00,0.0,2.8,4.9,19,0,2.0,False,4,6,6,1.1666666666666667
2021-06-04 21:00:00,0.0,2.4,2.1,20,5,0.0,False,4,6,6,0.5
2021-06-04 22:00:00,0.0,2.7,2.0,21,2,5.0,False,4,6,6,1.6666666666666667
2021-06-04 23:00:00,0.0,2.3,1.3,22,0,2.0,False,4,6,6,1.0
2021-06-04 00:00:00,0.0,1.1,1.2,23,0,0.0,False,4,6,6,0.0
2021-06-05 01:00:00,0.0,2.4,5.6,0,0,,False,5,6,6,0.0
2021-06-05 02:00:00,0.0,2.4,6.6,1,0,0.0,False,5,6,6,0.0
2021-06-05 03:00:00,0.0,2.8,8.3,2,0,0.0,False,5,6,6,0.0
2021-06-05 04:00:00,0.0,2.3,7.0,3,0,0.0,False,5,6,6,0.0
2021-06-05 05:00:00,0.0,2.4,7.0,4,0,0.0,False,5,6,6,0.1666666666666666
2021-06-05 06:00:00,0.0,2.4,6.2,5,1,0.0,False,5,6,6,0.0
2021-06-05 07:00:00,0.0,2.2,5.0,6,2,1.0,False,5,6,6,0.0
2021-06-05 08:00:00,0.0,3.4,5.5,7,0,2.0,False,5,6,6,0.6666666666666666
2021-06-05 09:00:00,0.0,4.6,5.8,8,5,0.0,False,5,6,6,1.3333333333333333
2021-06-05 10:00:00,0.0,6.1,4.9,9,2,5.0,False,5,6,6,1.3333333333333333
2021-06-05 11:00:00,0.0,7.0,5.8,10,3,2.0,False,5,6,6,1.8333333333333333
2021-06-05 12:00:00,0.0,6.7,4.9,11,5,3.0,False,5,6,6,1.3333333333333333
2021-06-05 13:00:00,0.0,8.2,5.2,12,2,5.0,False,5,6,5,2.0
2021-06-05 14:00:00,0.1,9.4,3.1,13,4,2.0,False,5,6,6,1.8333333333333333
2021-06-05 15:00:00,0.0,10.2,2.3,14,3,4.0,False,5,6,5,2.333333333333333
2021-06-05 16:00:00,0.1,9.0,3.6,15,1,3.0,False,5,6,6,1.8333333333333333
2021-06-05 17:00:00,0.0,8.9,2.4,16,3,1.0,False,5,6,5,1.3333333333333333
2021-06-05 18:00:00,0.0,9.2,1.6,17,2,3.0,False,5,6,6,2.1666666666666665
2021-06-05 19:00:00,0.0,9.0,3.5,18,1,2.0,False,5,6,6,1.5
2021-06-05 20:00:00,0.0,9.1,2.7,19,0,1.0,False,5,6,6,1.3333333333333333
2021-06-05 21:00:00,0.0,7.0,2.7,20,2,0.0,False,5,6,6,1.6666666666666667
2021-06-05 22:00:00,0.1,5.7,3.2,21,1,2.0,False,5,6,6,0.5
2021-06-05 23:00:00,0.1,4.9,4.3,22,1,1.0,False,5,6,6,0.8333333333333334
2021-06-05 00:00:00,0.0,5.2,3.9,23,0,1.0,False,5,6,6,0.0
2021-06-06 01:00:00,0.0,16.6,0.4,0,0,,False,6,6,6,0.0
2021-06-06 02:00:00,0.0,15.4,0.6,1,0,0.0,False,6,6,6,0.0
2021-06-06 03:00:00,0.0,14.8,0.2,2,0,0.0,False,6,6,6,0.0
2021-06-06 04:00:00,0.0,14.3,0.9,3,0,0.0,False,6,6,6,0.0
2021-06-06 05:00:00,0.0,13.3,1.9,4,0,0.0,False,6,6,6,0.1666666666666666
2021-06-06 06:00:00,0.0,13.8,2.4,5,1,0.0,False,6,6,6,0.0
2021-06-06 07:00:00,0.0,16.9,1.2,6,1,1.0,False,6,6,6,0.0
2021-06-06 08:00:00,0.0,19.1,1.9,7,0,1.0,False,6,6,6,0.3333333333333333
2021-06-06 09:00:00,0.0,20.0,1.2,8,0,0.0,False,6,6,6,0.5
2021-06-06 10:00:00,0.0,20.7,2.5,9,3,0.0,False,6,6,6,1.3333333333333333
2021-06-06 11:00:00,0.0,20.6,4.1,10,4,3.0,False,6,6,6,1.8333333333333333
2021-06-06 12:00:00,0.0,22.3,1.9,11,2,4.0,False,6,6,6,1.0
2021-06-06 13:00:00,0.0,21.9,3.0,12,1,2.0,False,6,6,6,2.333333333333333
2021-06-06 14:00:00,0.0,22.0,3.4,13,2,1.0,False,6,6,6,0.8333333333333334
2021-06-06 15:00:00,0.0,23.0,3.9,14,1,2.0,False,6,6,6,0.8333333333333334
2021-06-06 16:00:00,0.0,22.4,5.4,15,3,1.0,False,6,6,6,1.1666666666666667
2021-06-06 17:00:00,0.0,20.9,4.1,16,4,3.0,False,6,6,6,2.1666666666666665
2021-06-06 18:00:00,0.2,18.5,2.9,17,2,4.0,False,6,6,6,0.8333333333333334
2021-06-06 19:00:00,0.0,20.0,1.8,18,1,2.0,False,6,6,6,1.1666666666666667
2021-06-06 20:00:00,0.0,19.7,2.1,19,0,1.0,False,6,6,6,0.8333333333333334
2021-06-06 21:00:00,0.0,19.3,3.2,20,0,0.0,False,6,6,6,0.8333333333333334
2021-06-06 22:00:00,0.0,18.3,2.7,21,1,0.0,False,6,6,6,0.6666666666666666
2021-06-06 23:00:00,0.0,17.4,3.3,22,0,1.0,False,6,6,6,0.3333333333333333
2021-06-06 00:00:00,0.0,16.7,2.1,23,0,0.0,False,6,6,6,0.0
2021-06-07 01:00:00,0.0,18.1,2.3,0,0,,False,0,6,6,0.0
2021-06-07 02:00:00,0.3,17.6,1.1,1,0,0.0,False,0,6,6,0.0
2021-06-07 03:00:00,0.0,17.6,0.9,2,0,0.0,False,0,6,6,0.0
2021-06-07 04:00:00,0.0,17.5,0.3,3,0,0.0,False,0,6,6,0.0
2021-06-07 05:00:00,0.0,17.4,2.0,4,0,0.0,False,0,6,6,0.1666666666666666
2021-06-07 06:00:00,0.0,17.6,2.2,5,0,0.0,False,0,6,6,0.6666666666666666
2021-06-07 07:00:00,0.0,18.2,1.7,6,2,0.0,False,0,6,6,1.3333333333333333
2021-06-07 08:00:00,0.0,18.4,2.9,7,0,2.0,False,0,6,6,2.1666666666666665
2021-06-07 09:00:00,0.0,20.3,1.8,8,0,0.0,False,0,6,6,2.0
2021-06-07 10:00:00,7.2,16.7,1.6,9,0,0.0,False,0,6,6,1.0
2021-06-07 11:00:00,0.0,18.8,3.6,10,2,0.0,False,0,6,6,0.8333333333333334
2021-06-07 12:00:00,0.0,20.1,3.4,11,2,2.0,False,0,6,6,2.1666666666666665
2021-06-07 13:00:00,0.0,20.8,5.0,12,0,2.0,False,0,6,6,1.6666666666666667
2021-06-07 14:00:00,0.0,21.6,4.5,13,2,0.0,False,0,6,6,0.6666666666666666
2021-06-07 15:00:00,0.0,21.8,4.1,14,0,2.0,False,0,6,6,2.1666666666666665
2021-06-07 16:00:00,0.0,22.6,3.5,15,4,0.0,False,0,6,6,2.6666666666666665
2021-06-07 17:00:00,0.0,22.9,4.2,16,2,4.0,False,0,6,6,2.1666666666666665
2021-06-07 18:00:00,0.1,22.0,3.1,17,3,2.0,False,0,6,6,1.5
2021-06-07 19:00:00,0.0,20.6,2.7,18,0,3.0,False,0,6,6,2.833333333333333
2021-06-07 20:00:00,0.1,18.3,4.6,19,0,0.0,False,0,6,6,0.8333333333333334
2021-06-07 21:00:00,0.5,16.7,1.2,20,5,0.0,False,0,6,6,1.1666666666666667
2021-06-07 22:00:00,1.8,16.3,2.2,21,0,5.0,False,0,6,6,0.5
2021-06-07 23:00:00,1.1,16.4,2.7,22,0,0.0,False,0,6,6,0.0
2021-06-07 00:00:00,0.0,16.9,3.0,23,0,0.0,False,0,6,6,0.0
2021-06-08 01:00:00,0.0,12.8,1.8,0,0,,False,1,6,6,0.0
2021-06-08 02:00:00,0.0,13.3,3.0,1,0,0.0,False,1,6,6,0.0
2021-06-08 03:00:00,0.0,14.0,3.2,2,0,0.0,False,1,6,6,0.0
2021-06-08 04:00:00,0.0,14.9,3.5,3,0,0.0,False,1,6,6,0.0
2021-06-08 05:00:00,0.0,14.5,2.4,4,0,0.0,False,1,6,6,0.1666666666666666
2021-06-08 06:00:00,0.0,14.4,3.8,5,1,0.0,False,1,6,6,1.0
2021-06-08 07:00:00,0.0,14.4,3.4,6,2,1.0,False,1,6,6,1.0
2021-06-08 08:00:00,0.0,14.7,3.6,7,0,2.0,False,1,6,6,2.333333333333333
2021-06-08 09:00:00,0.0,15.2,3.0,8,3,0.0,False,1,6,6,1.6666666666666667
2021-06-08 10:00:00,0.7,15.4,1.9,9,1,3.0,False,1,6,6,1.0
2021-06-08 11:00:00,0.2,18.1,2.3,10,0,1.0,False,1,6,6,0.6666666666666666
2021-06-08 12:00:00,0.0,17.5,2.0,11,3,0.0,False,1,6,6,1.5
2021-06-08 13:00:00,0.1,17.3,1.9,12,2,3.0,False,1,6,6,1.0
2021-06-08 14:00:00,0.0,22.4,1.6,13,4,2.0,False,1,6,6,1.3333333333333333
2021-06-08 15:00:00,0.0,19.7,1.9,14,2,4.0,False,1,6,6,2.1666666666666665
2021-06-08 16:00:00,0.0,21.3,3.5,15,3,2.0,False,1,6,6,4.833333333333333
2021-06-08 17:00:00,0.0,20.8,4.4,16,2,3.0,False,1,6,6,3.1666666666666665
2021-06-08 18:00:00,0.0,21.6,4.2,17,8,2.0,False,1,6,6,1.6666666666666667
2021-06-08 19:00:00,0.0,20.9,4.5,18,4,8.0,False,1,6,6,2.1666666666666665
2021-06-08 20:00:00,0.0,20.2,3.0,19,1,4.0,False,1,6,6,2.0
2021-06-08 21:00:00,0.0,19.7,2.1,20,1,1.0,False,1,6,6,1.1666666666666667
2021-06-08 22:00:00,0.0,18.4,2.1,21,0,1.0,False,1,6,6,1.3333333333333333
2021-06-08 23:00:00,0.0,17.0,3.3,22,0,0.0,False,1,6,6,0.8333333333333334
2021-06-08 00:00:00,0.0,17.0,3.6,23,0,0.0,False,1,6,6,0.0
2021-06-09 01:00:00,0.0,11.1,0.2,0,0,,False,2,6,6,0.0
2021-06-09 02:00:00,0.0,10.4,0.5,1,0,0.0,False,2,6,6,0.0
2021-06-09 03:00:00,0.0,10.8,1.6,2,0,0.0,False,2,6,6,0.0
2021-06-09 04:00:00,0.1,11.0,0.9,3,0,0.0,False,2,6,6,0.0
2021-06-09 05:00:00,0.0,11.3,1.4,4,0,0.0,False,2,6,6,0.0
2021-06-09 06:00:00,0.0,11.2,0.7,5,0,0.0,False,2,6,6,0.8333333333333334
2021-06-09 07:00:00,0.0,11.1,1.1,6,3,0.0,False,2,6,6,1.5
2021-06-09 08:00:00,0.0,11.3,0.7,7,0,3.0,False,2,6,6,2.5
2021-06-09 09:00:00,0.0,11.8,0.9,8,2,0.0,False,2,6,6,1.0
2021-06-09 10:00:00,0.0,12.5,1.3,9,0,2.0,False,2,6,6,1.5
2021-06-09 11:00:00,0.0,13.6,1.0,10,2,0.0,False,2,6,6,0.8333333333333334
2021-06-09 12:00:00,0.0,15.1,1.8,11,0,2.0,False,2,6,6,1.5
2021-06-09 13:00:00,0.0,15.9,1.9,12,2,0.0,False,2,6,6,1.1666666666666667
2021-06-09 14:00:00,0.0,17.3,1.2,13,5,2.0,False,2,6,6,2.6666666666666665
2021-06-09 15:00:00,0.0,18.4,2.0,14,3,5.0,False,2,6,6,2.6666666666666665
2021-06-09 16:00:00,0.0,19.6,2.4,15,7,3.0,False,2,6,6,4.0
2021-06-09 17:00:00,0.0,20.2,2.5,16,1,7.0,False,2,6,6,2.833333333333333
2021-06-09 18:00:00,0.0,19.3,1.9,17,4,1.0,False,2,6,6,2.5
2021-06-09 19:00:00,0.0,18.0,2.6,18,4,4.0,False,2,6,6,2.1666666666666665
2021-06-09 20:00:00,0.0,16.6,3.4,19,2,4.0,False,2,6,6,2.6666666666666665
2021-06-09 21:00:00,0.0,15.4,2.8,20,2,2.0,False,2,6,6,1.8333333333333333
2021-06-09 22:00:00,0.0,13.8,1.4,21,2,2.0,False,2,6,6,3.0
2021-06-09 23:00:00,0.0,12.8,0.9,22,0,2.0,False,2,6,6,1.3333333333333333
2021-06-09 00:00:00,0.0,11.6,1.7,23,0,0.0,False,2,6,6,0.0
2021-06-10 01:00:00,0.0,10.8,4.2,0,0,,False,3,6,6,0.0
2021-06-10 02:00:00,0.0,10.6,5.1,1,0,0.0,False,3,6,6,0.0
2021-06-10 03:00:00,0.2,10.4,5.3,2,0,0.0,False,3,6,6,0.0
2021-06-10 04:00:00,0.1,10.5,4.9,3,0,0.0,False,3,6,6,0.0
2021-06-10 05:00:00,0.0,10.7,6.1,4,0,0.0,False,3,6,6,0.0
2021-06-10 06:00:00,0.0,10.2,8.1,5,0,0.0,False,3,6,6,0.3333333333333333
2021-06-10 07:00:00,0.0,9.7,7.4,6,0,0.0,False,3,6,6,1.1666666666666667
2021-06-10 08:00:00,0.0,10.1,6.3,7,0,0.0,False,3,6,6,1.8333333333333333
2021-06-10 09:00:00,0.0,10.3,5.9,8,3,0.0,False,3,6,6,1.1666666666666667
2021-06-10 10:00:00,0.0,10.4,5.9,9,1,3.0,False,3,6,6,2.0
2021-06-10 11:00:00,0.0,10.5,5.1,10,0,1.0,False,3,6,6,1.5
2021-06-10 12:00:00,0.0,10.7,2.6,11,2,0.0,False,3,6,6,0.1666666666666666
2021-06-10 13:00:00,0.0,11.1,1.1,12,1,2.0,False,3,6,6,1.0
2021-06-10 14:00:00,0.0,11.2,1.5,13,4,1.0,False,3,6,6,1.3333333333333333
2021-06-10 15:00:00,0.0,11.8,0.8,14,2,4.0,False,3,6,6,3.0
2021-06-10 16:00:00,0.0,11.5,1.8,15,4,2.0,False,3,6,6,5.0
2021-06-10 17:00:00,0.0,11.7,1.7,16,3,4.0,False,3,6,6,2.833333333333333
2021-06-10 18:00:00,0.0,11.2,1.8,17,5,3.0,False,3,6,6,2.6666666666666665
2021-06-10 19:00:00,0.0,10.8,2.2,18,1,5.0,False,3,6,6,2.5
